	HC22	HC140	HC3	HC152	HC158	HC155	HC75	HC91	HC72	TA1	TA54	HC137	TA13	HC66	TA75	TA79	TA66	HC55	TA26	HC78	HC49	TA42	HC5	TA32	TA6	HC85	TA30	HC81	HC118	HC33	HC144	TA60	HC26	HC62	HC129	HC104	HC2	HC9	HC111	HC100	HC132	TA36	TA50	HC121	TA28	HC37	TA16	TA46	TA23	HC16	HC124	HC89	TA38	HC108	HC1	TA57	HC115	HC52	HC69	TA72	HC96	HC149	HC6	TA63	HC23	TA47	HC133	HC56	TA29	TA73	TA76	HC63	TA58	HC92	TA39	HC40	TA43	HC79	HC86	HC82	HC141	HC145	TA27	HC20	TA7	HC156	TA51	TA37	HC125	HC24	HC57	TA70	TA17	HC12	HC4	TA67	HC44	TA48	TA24	HC70	TA77	HC17	HC159	HC25	HC45	HC142	HC64	TA20	HC7	HC58	HC76	TA55	TA33	HC30	TA44	HC119	HC105	HC116	TA80	TA64	HC138	HC112	TA10	HC93	TA14	TA31	HC27	TA59	TA68	TA3	TA25	HC67	HC8	HC15	HC34	TA18	HC38	TA8	HC50	TA78	TA61	TA21	HC126	TA74	HC46	HC60	HC59	TA52	TA49	HC130	TA34	HC134	HC90	TA2	TA56	TA65	HC73	TA45	HC68	HC153	HC65	HC28	TA71	HC41	HC61	TA40	HC21	HC83	HC18	HC143	HC77	TA11	TA4	TA35	HC11	HC35	HC94	HC135	HC47	HC80	HC127	HC117	HC29	HC139	HC109	HC157	HC53	TA53	TA15	HC84	TA5	HC146	TA19	TA62	HC71	HC160	HC113	HC14	HC136	TA41	HC74	HC39	HC106	TA22	HC120	HC97	HC128	HC19	TA9	TA12	HC131	TA69	HC42	HC51	HC48	HC95	HC36	HC122	HC87	HC54	HC114	HC147	HC13	HC98	HC31	HC10	HC43	HC107	HC150	HC148	HC123	HC110	HC151	HC32	HC99	HC88	HC154	HC101	HC102	HC103
HC22	0.0	0.549158	0.634059	0.489586	0.486438	0.772037	0.68887	0.770251	0.344564	0.504422	0.499614	0.374747	0.465749	0.595102	0.397802	0.470238	0.702175	0.469351	0.41488	0.545278	0.580853	0.479861	0.565381	0.513884	0.469658	0.502626	0.560446	0.555483	0.3707	0.752787	0.477394	0.420062	0.620157	0.41631	0.550427	0.629871	0.450857	0.384895	0.326347	0.530139	0.716247	0.38174	0.468141	0.618659	0.4649	0.381511	0.410926	0.493956	0.528993	0.444478	0.380666	0.47265	0.649627	0.511739	0.449964	0.465059	0.566854	0.424491	0.350706	0.59915	0.408751	0.563589	0.309742	0.42857	0.509331	0.520931	0.663949	0.215224	0.567792	0.348209	0.327456	0.422642	0.505759	0.466581	0.573791	0.374904	0.406914	0.377268	0.70574	0.651119	0.419649	0.717031	0.521128	0.441666	0.459549	0.454841	0.600183	0.616574	0.388101	0.518506	0.676686	0.5836	0.623696	0.438732	0.396047	0.520968	0.666616	0.435851	0.45041	0.391185	0.58902	0.617922	0.46298	0.35897	0.328701	0.336608	0.770339	0.338834	0.645388	0.503155	0.662464	0.629807	0.506773	0.706389	0.447666	0.346948	0.479223	0.582204	0.41597	0.572942	0.431027	0.642325	0.522522	0.707868	0.438596	0.592242	0.386142	0.341032	0.366455	0.613677	0.513639	0.433355	0.430924	0.458125	0.738728	0.497822	0.434601	0.554746	0.524581	0.420982	0.554607	0.594771	0.494833	0.452694	0.497035	0.451913	0.574528	0.661311	0.491067	0.462339	0.633157	0.464966	0.568684	0.683652	0.531866	0.567301	0.532073	0.679575	0.472822	0.50817	0.647671	0.422942	0.486248	0.738983	0.46445	0.588339	0.35846	0.707989	0.572966	0.419208	0.412146	0.691247	0.543859	0.562152	0.486756	0.487804	0.526699	0.530117	0.428782	0.623357	0.370617	0.773479	0.653003	0.375204	0.432341	0.624631	0.642037	0.595955	0.521196	0.506869	0.641701	0.660397	0.719295	0.556963	0.720737	0.305399	0.538308	0.502508	0.786548	0.45157	0.579468	0.586656	0.477981	0.591985	0.489942	0.44565	0.676686	0.675809	0.623556	0.693344	0.529102	0.63561	0.534125	0.550602	0.556146	0.51703	0.592024	0.441076	0.636335	0.513847	0.381363	0.708975	0.285517	0.684488	0.564108	0.417416	0.567246	0.811946	0.516704	0.407404	0.610344	0.462081	0.482853	0.502984	0.355432	0.418751	0.400811	0.485726	0.64359	0.397487
HC140	0.549158	0.0	0.425442	0.453206	0.631593	0.713789	0.531823	0.542945	0.478825	0.554678	0.68757	0.479015	0.512309	0.432212	0.495238	0.443887	0.447665	0.729981	0.459508	0.445361	0.356566	0.762196	0.631667	0.414068	0.794222	0.6202	0.781727	0.629757	0.480458	0.682586	0.65338	0.67652	0.765536	0.641937	0.683456	0.327332	0.614828	0.547774	0.646748	0.404966	0.732014	0.570838	0.509101	0.608835	0.693339	0.634826	0.611078	0.744943	0.741691	0.573406	0.686858	0.611686	0.837093	0.61419	0.710438	0.780065	0.635911	0.627631	0.58103	0.823431	0.638131	0.63693	0.427894	0.767212	0.818844	0.758465	0.599745	0.487418	0.564263	0.60651	0.574874	0.513606	0.772386	0.595436	0.772995	0.560002	0.57074	0.474043	0.401778	0.391718	0.390851	0.6566	0.725584	0.468389	0.559497	0.529657	0.807045	0.819233	0.595199	0.491826	0.38687	0.730013	0.841095	0.698092	0.5592	0.493444	0.727285	0.736572	0.6006	0.629509	0.746404	0.459569	0.616556	0.522504	0.581584	0.507916	0.476486	0.610022	0.570592	0.47813	0.787619	0.781794	0.515875	0.442127	0.453906	0.685408	0.486029	0.733403	0.627837	0.821548	0.504212	0.53872	0.783861	0.451022	0.525627	0.613492	0.678969	0.515318	0.605655	0.562641	0.756923	0.472114	0.510863	0.581215	0.639894	0.578241	0.514457	0.734845	0.783416	0.624258	0.762654	0.450898	0.403569	0.583587	0.709511	0.55746	0.543348	0.892559	0.51092	0.621891	0.78525	0.592554	0.452569	0.509082	0.736426	0.651174	0.417064	0.758593	0.681384	0.808827	0.493495	0.529552	0.410534	0.516668	0.543637	0.479461	0.547409	0.349177	0.678997	0.30889	0.442232	0.427274	0.839834	0.799395	0.742743	0.419176	0.424474	0.375522	0.591237	0.524654	0.508241	0.607151	0.503636	0.485809	0.630035	0.536698	0.447542	0.769743	0.455472	0.682751	0.496137	0.516409	0.633681	0.809448	0.677294	0.479358	0.647853	0.713039	0.465452	0.517471	0.657131	0.363151	0.576837	0.654607	0.70247	0.499907	0.695421	0.610817	0.67812	0.629379	0.661197	0.485819	0.428349	0.468452	0.792541	0.570162	0.473402	0.671351	0.660539	0.588954	0.418014	0.552079	0.495149	0.52923	0.63019	0.457456	0.34572	0.644003	0.610995	0.615901	0.738473	0.625107	0.733544	0.738012	0.610737	0.554941	0.546718	0.721071	0.568229	0.537215
HC3	0.634059	0.425442	0.0	0.445364	0.72609	0.83923	0.752933	0.65739	0.636659	0.709053	0.781866	0.600297	0.656956	0.449019	0.648115	0.596787	0.477264	0.851592	0.561587	0.475512	0.481885	0.807866	0.747842	0.56738	0.849281	0.748259	0.865129	0.615804	0.6183	0.801496	0.607347	0.732884	0.805288	0.758779	0.751542	0.455292	0.545607	0.544439	0.644375	0.454563	0.537533	0.747945	0.511969	0.627416	0.68678	0.770315	0.739025	0.835051	0.831587	0.562207	0.695156	0.542401	0.885248	0.503932	0.590223	0.832734	0.673049	0.616065	0.642384	0.879712	0.6867	0.816077	0.547414	0.76662	0.813157	0.782356	0.727304	0.651602	0.696173	0.627849	0.614387	0.499053	0.783121	0.754031	0.851749	0.565636	0.752683	0.701752	0.473526	0.493346	0.521728	0.571112	0.829012	0.561613	0.667554	0.561423	0.833436	0.87235	0.590302	0.595818	0.501786	0.798003	0.880221	0.611494	0.517781	0.525573	0.766144	0.779722	0.75274	0.697096	0.771186	0.457068	0.624128	0.642168	0.495552	0.717806	0.497795	0.72875	0.415908	0.515777	0.657147	0.82858	0.584426	0.431483	0.628557	0.687903	0.603015	0.570028	0.699349	0.892335	0.63589	0.529671	0.813366	0.330991	0.635005	0.748438	0.680341	0.536132	0.678036	0.661636	0.793192	0.61499	0.698594	0.559432	0.836388	0.737031	0.632518	0.715469	0.792219	0.673295	0.821434	0.524259	0.517584	0.65726	0.571472	0.744126	0.712795	0.900722	0.718417	0.529076	0.849501	0.589382	0.729057	0.702236	0.712375	0.733701	0.573133	0.844433	0.782639	0.809286	0.565526	0.60482	0.691014	0.490491	0.729692	0.584987	0.693576	0.528314	0.458364	0.475527	0.585881	0.572228	0.842908	0.841052	0.752275	0.539796	0.437335	0.547783	0.70162	0.65929	0.560969	0.731474	0.611971	0.624726	0.724865	0.632136	0.59468	0.836909	0.621669	0.597777	0.508205	0.271141	0.743384	0.756412	0.788214	0.48621	0.529049	0.688684	0.542103	0.67187	0.853308	0.606857	0.512358	0.773673	0.734949	0.508746	0.525056	0.670108	0.781284	0.76495	0.841457	0.517795	0.502168	0.420643	0.818586	0.643481	0.514256	0.732766	0.807439	0.440929	0.47568	0.645389	0.679954	0.795319	0.657803	0.54594	0.339869	0.758471	0.663994	0.712972	0.699318	0.64041	0.690873	0.759918	0.772107	0.670294	0.646101	0.745829	0.41613	0.639364
HC152	0.489586	0.453206	0.445364	0.0	0.648033	0.831043	0.680281	0.62568	0.588539	0.602236	0.628217	0.503607	0.476369	0.451508	0.467013	0.498785	0.524516	0.735282	0.438156	0.417815	0.462172	0.661043	0.59272	0.553899	0.705209	0.574025	0.709321	0.600241	0.571149	0.750668	0.551938	0.577278	0.700962	0.571875	0.687595	0.544685	0.602969	0.564204	0.580084	0.524672	0.7134	0.645575	0.472461	0.689167	0.573355	0.657799	0.643916	0.709833	0.679266	0.628547	0.61619	0.616234	0.769868	0.535687	0.549541	0.683989	0.713311	0.636386	0.587624	0.752388	0.650258	0.760859	0.459284	0.655652	0.737033	0.625301	0.695057	0.474795	0.581364	0.421693	0.444113	0.525235	0.676508	0.690707	0.696421	0.563684	0.575478	0.527517	0.562901	0.52318	0.516936	0.717346	0.691746	0.458697	0.62557	0.560029	0.722236	0.741195	0.510313	0.661063	0.567391	0.708143	0.734764	0.59593	0.484411	0.566265	0.822702	0.551941	0.614116	0.532606	0.577688	0.456765	0.564609	0.488426	0.499972	0.5448	0.684655	0.460265	0.518364	0.460199	0.63482	0.731744	0.644083	0.583128	0.560044	0.706921	0.566481	0.642587	0.621367	0.745599	0.627098	0.575426	0.724267	0.606918	0.485171	0.554324	0.55056	0.483956	0.604714	0.652447	0.563085	0.459388	0.608908	0.572427	0.81411	0.5249	0.454372	0.624427	0.719173	0.5827	0.692655	0.522669	0.461885	0.471602	0.521479	0.695513	0.564215	0.756354	0.548542	0.511549	0.717093	0.59059	0.687171	0.693898	0.661539	0.432559	0.60343	0.690121	0.642166	0.750805	0.553616	0.476536	0.560267	0.560884	0.606821	0.474847	0.630989	0.567402	0.59199	0.392748	0.510731	0.566151	0.774446	0.644126	0.680496	0.436915	0.549546	0.49628	0.620359	0.536995	0.572973	0.66513	0.608613	0.574857	0.690256	0.671688	0.650635	0.673641	0.51001	0.587483	0.485913	0.440933	0.711082	0.700887	0.783613	0.412074	0.59088	0.642447	0.623932	0.482368	0.767326	0.551924	0.514567	0.685217	0.664259	0.531324	0.697549	0.634104	0.724626	0.633597	0.793794	0.547002	0.594544	0.515484	0.734071	0.542237	0.498039	0.626133	0.767693	0.479021	0.436379	0.586761	0.561154	0.773271	0.592115	0.39329	0.492183	0.778628	0.707559	0.644954	0.611071	0.719823	0.494066	0.716258	0.651017	0.595612	0.550466	0.749959	0.497619	0.449856
HC158	0.486438	0.631593	0.72609	0.648033	0.0	0.5947	0.471382	0.648974	0.506685	0.376232	0.563442	0.471995	0.440614	0.565853	0.426344	0.596283	0.787864	0.532128	0.435397	0.524287	0.637973	0.539546	0.636685	0.725239	0.505094	0.451126	0.543043	0.438055	0.521766	0.532732	0.65797	0.57135	0.555688	0.479462	0.478368	0.658085	0.584742	0.444912	0.477501	0.734541	0.882061	0.507208	0.72878	0.857421	0.587553	0.574192	0.496474	0.463801	0.533657	0.685507	0.516965	0.635554	0.668896	0.735488	0.599698	0.527458	0.53602	0.653914	0.47807	0.582216	0.651015	0.652743	0.616225	0.519649	0.582572	0.559025	0.822359	0.439809	0.799412	0.472273	0.617485	0.610538	0.614596	0.533447	0.565591	0.586661	0.560798	0.625976	0.648625	0.516583	0.628334	0.808978	0.553862	0.511056	0.361115	0.457171	0.600845	0.661751	0.592912	0.752984	0.593597	0.606841	0.663557	0.62571	0.52839	0.623686	0.867086	0.550263	0.595798	0.515035	0.575077	0.420848	0.64979	0.61796	0.455997	0.485038	0.639779	0.566323	0.767584	0.718886	0.810272	0.600309	0.45234	0.84224	0.537886	0.574859	0.698683	0.732769	0.352088	0.51838	0.706385	0.721404	0.553827	0.752372	0.650053	0.587781	0.492248	0.570482	0.465003	0.850922	0.606589	0.67154	0.362726	0.62398	0.508024	0.63747	0.64839	0.664167	0.602446	0.567356	0.565191	0.784421	0.753418	0.504108	0.674852	0.398663	0.524565	0.687497	0.656559	0.656687	0.602018	0.693861	0.53249	0.725398	0.631689	0.624367	0.795915	0.710744	0.443629	0.554699	0.792305	0.355881	0.613941	0.781518	0.267269	0.577318	0.493021	0.767421	0.665626	0.622768	0.602529	0.641077	0.581227	0.648784	0.589503	0.59877	0.762704	0.578363	0.395304	0.423495	0.662236	0.56843	0.79915	0.518801	0.561877	0.807243	0.82304	0.601677	0.666988	0.734865	0.718814	0.777588	0.58244	0.702907	0.509142	0.525061	0.706597	0.590071	0.594297	0.397867	0.774602	0.597362	0.578533	0.80897	0.52314	0.528987	0.849385	0.795537	0.449513	0.699041	0.531276	0.612176	0.700823	0.714579	0.63149	0.618242	0.618813	0.565676	0.417517	0.630554	0.566396	0.503641	0.476927	0.488648	0.691787	0.580697	0.652632	0.601479	0.446002	0.613418	0.722143	0.639652	0.626057	0.603544	0.528797	0.386072	0.506189	0.474977	0.838255	0.566059
HC155	0.772037	0.713789	0.83923	0.831043	0.5947	0.0	0.456096	0.725853	0.751575	0.586868	0.829258	0.75517	0.74353	0.793583	0.734306	0.663313	0.870464	0.801927	0.748864	0.659568	0.786299	0.851303	0.841732	0.776052	0.862957	0.803236	0.862272	0.702076	0.720831	0.162648	0.85385	0.806004	0.857382	0.822216	0.758007	0.723339	0.846609	0.781731	0.800653	0.78478	0.884358	0.759204	0.803284	0.834628	0.843348	0.790918	0.746091	0.823986	0.829827	0.794239	0.851138	0.855571	0.89067	0.840832	0.877408	0.863098	0.731824	0.784998	0.782395	0.881652	0.797663	0.703517	0.758163	0.88905	0.898163	0.852871	0.82847	0.756254	0.825259	0.821478	0.796427	0.789746	0.871364	0.70213	0.86025	0.768299	0.735004	0.781626	0.740033	0.62249	0.753023	0.828438	0.826732	0.745478	0.527301	0.688403	0.87964	0.886513	0.839494	0.796739	0.575664	0.812468	0.902525	0.871244	0.797844	0.624251	0.843792	0.867404	0.751528	0.830165	0.866099	0.564006	0.834446	0.760034	0.793464	0.777955	0.649458	0.799278	0.844652	0.845018	0.906048	0.841045	0.637295	0.884935	0.586869	0.808461	0.781053	0.895752	0.634356	0.874425	0.796915	0.840534	0.865774	0.81161	0.764023	0.795246	0.841361	0.783132	0.798624	0.830986	0.875524	0.796546	0.478265	0.813852	0.341314	0.795769	0.824531	0.855919	0.864327	0.802527	0.846649	0.8169	0.778578	0.823268	0.856758	0.570321	0.73038	0.923598	0.774946	0.830494	0.865731	0.797689	0.535085	0.834452	0.855526	0.83751	0.815354	0.879379	0.809231	0.889642	0.816644	0.684937	0.766874	0.893607	0.586242	0.732771	0.767325	0.84212	0.858705	0.702573	0.774679	0.686173	0.904712	0.876692	0.861881	0.777976	0.777842	0.648319	0.737345	0.420195	0.771348	0.420502	0.815136	0.718833	0.76857	0.823053	0.825369	0.864158	0.726672	0.861595	0.800842	0.860895	0.480689	0.919551	0.268806	0.787532	0.847397	0.830559	0.527218	0.73061	0.809143	0.746352	0.828905	0.821418	0.840106	0.759306	0.848116	0.852736	0.457682	0.805256	0.70448	0.710375	0.694868	0.782681	0.884486	0.832867	0.745143	0.817738	0.271561	0.834378	0.777532	0.350515	0.736666	0.546417	0.840612	0.773342	0.75783	0.199804	0.688832	0.771331	0.893204	0.770134	0.841834	0.857315	0.749679	0.706682	0.732267	0.834895	0.869696	0.793726
HC75	0.68887	0.531823	0.752933	0.680281	0.471382	0.456096	0.0	0.523058	0.636953	0.517666	0.740998	0.593592	0.576089	0.610491	0.533729	0.576097	0.674205	0.752772	0.519996	0.548906	0.596445	0.782788	0.675929	0.684357	0.783362	0.548399	0.751551	0.606029	0.675452	0.38736	0.713365	0.75405	0.780545	0.616581	0.72628	0.619714	0.745125	0.666077	0.766623	0.749227	0.917917	0.659426	0.724533	0.868849	0.754649	0.720922	0.660904	0.760959	0.724529	0.793714	0.783862	0.721958	0.829352	0.788179	0.796295	0.753642	0.692204	0.775871	0.719515	0.786573	0.805245	0.723643	0.655746	0.784587	0.835913	0.743761	0.736648	0.624002	0.765155	0.699457	0.724161	0.742223	0.7929	0.699612	0.750175	0.702696	0.625802	0.605854	0.561833	0.460954	0.678686	0.845253	0.762864	0.588127	0.443606	0.610568	0.803737	0.828559	0.685643	0.726671	0.476758	0.729982	0.830439	0.815966	0.713037	0.606224	0.903941	0.773006	0.664085	0.614522	0.762105	0.495567	0.780624	0.629993	0.709204	0.611089	0.632397	0.688213	0.852367	0.670897	0.886246	0.797472	0.552733	0.798476	0.523579	0.803174	0.725237	0.891336	0.565648	0.755845	0.689547	0.827733	0.806409	0.752338	0.653524	0.617321	0.752262	0.686163	0.661247	0.818435	0.782531	0.675694	0.409213	0.759204	0.343148	0.64619	0.541107	0.822492	0.806533	0.66686	0.748719	0.740285	0.702193	0.683284	0.780134	0.531415	0.582522	0.87763	0.613375	0.740933	0.781294	0.787757	0.466223	0.648014	0.811755	0.645647	0.708889	0.738131	0.684599	0.817988	0.678143	0.53012	0.564348	0.717022	0.41624	0.592301	0.651609	0.627972	0.843575	0.616977	0.556696	0.609278	0.83133	0.782222	0.800715	0.638444	0.782393	0.581397	0.641556	0.282699	0.717702	0.370398	0.713909	0.6714	0.654384	0.856364	0.78272	0.766312	0.671447	0.826882	0.694164	0.853646	0.432323	0.86949	0.439143	0.676276	0.818965	0.738825	0.396093	0.547892	0.734294	0.565678	0.716711	0.766184	0.763997	0.69636	0.885296	0.778059	0.421716	0.664099	0.667309	0.566698	0.729511	0.81758	0.829746	0.707556	0.626635	0.799172	0.382163	0.77891	0.724726	0.372938	0.624244	0.414338	0.752863	0.7284	0.680561	0.485202	0.659299	0.743333	0.827212	0.798123	0.756464	0.821037	0.712807	0.609848	0.636937	0.732445	0.869291	0.615691
HC91	0.770251	0.542945	0.65739	0.62568	0.648974	0.725853	0.523058	0.0	0.791369	0.656167	0.816977	0.601106	0.5603	0.519529	0.54078	0.586949	0.480784	0.852363	0.550456	0.538105	0.554958	0.857326	0.72439	0.612046	0.879432	0.606587	0.84764	0.696894	0.685482	0.661041	0.788852	0.854235	0.847259	0.664164	0.779435	0.525808	0.783281	0.745236	0.836459	0.671853	0.908307	0.779882	0.713779	0.787333	0.810781	0.790001	0.73693	0.837221	0.854714	0.799852	0.859537	0.777666	0.89558	0.785227	0.872124	0.866024	0.756443	0.827639	0.756725	0.893626	0.863453	0.794067	0.655867	0.89599	0.907141	0.848198	0.657665	0.688912	0.620518	0.763548	0.752022	0.752859	0.884589	0.726591	0.853944	0.739511	0.70165	0.620458	0.340536	0.424614	0.689421	0.827216	0.842446	0.494288	0.662043	0.665935	0.887061	0.892349	0.748835	0.824512	0.51383	0.81221	0.903316	0.870117	0.736157	0.639893	0.920307	0.837767	0.758924	0.554059	0.82415	0.569095	0.842423	0.692552	0.784366	0.674418	0.63727	0.738869	0.775629	0.708021	0.91128	0.849845	0.583459	0.761157	0.612509	0.877855	0.734726	0.884917	0.694631	0.871494	0.828305	0.73995	0.878568	0.632602	0.623966	0.495327	0.843237	0.743906	0.748629	0.731365	0.854116	0.611042	0.598836	0.787877	0.734113	0.628587	0.663608	0.884608	0.875993	0.799384	0.842511	0.545063	0.644008	0.717858	0.854138	0.667386	0.446083	0.939559	0.739491	0.800851	0.855623	0.851105	0.635779	0.742416	0.854442	0.734344	0.784931	0.442201	0.776868	0.896792	0.570382	0.580039	0.661117	0.323129	0.532572	0.468012	0.761323	0.625342	0.838386	0.536972	0.532215	0.451895	0.911985	0.882842	0.868947	0.609216	0.691679	0.49623	0.713668	0.521125	0.79555	0.54664	0.489184	0.684803	0.746877	0.769688	0.790476	0.842137	0.541527	0.878821	0.493083	0.7599	0.659357	0.920149	0.713188	0.70618	0.867215	0.814013	0.433437	0.578341	0.894193	0.631988	0.739764	0.703315	0.828258	0.68754	0.886577	0.758599	0.693249	0.515745	0.753862	0.464865	0.666921	0.722667	0.894776	0.820311	0.584548	0.850805	0.689698	0.796843	0.687244	0.573217	0.697639	0.718051	0.800951	0.67115	0.671884	0.669517	0.733608	0.827731	0.883263	0.841895	0.815165	0.878198	0.808956	0.672662	0.677407	0.808451	0.785395	0.644976
HC72	0.344564	0.478825	0.636659	0.588539	0.506685	0.751575	0.636953	0.791369	0.0	0.566945	0.588098	0.345485	0.530121	0.623223	0.492935	0.597262	0.720564	0.526962	0.445286	0.584799	0.549801	0.537818	0.530036	0.539368	0.489715	0.539996	0.621273	0.610341	0.361484	0.742552	0.540032	0.522452	0.694237	0.45358	0.587985	0.623962	0.365238	0.462499	0.382712	0.616649	0.716774	0.341991	0.606535	0.623269	0.563016	0.434394	0.507888	0.525864	0.576992	0.457096	0.369377	0.391323	0.680423	0.57509	0.470659	0.527495	0.514782	0.456666	0.34965	0.653594	0.48288	0.60001	0.478789	0.483325	0.473593	0.589765	0.755303	0.356063	0.707998	0.457148	0.537361	0.401923	0.592425	0.477648	0.634419	0.408452	0.598462	0.453586	0.727627	0.651182	0.440051	0.667399	0.557995	0.482649	0.521513	0.473484	0.651503	0.660904	0.476529	0.506324	0.706177	0.654897	0.671181	0.500905	0.312823	0.5877	0.642878	0.519666	0.591949	0.416769	0.697207	0.61514	0.492139	0.432168	0.303148	0.43493	0.712077	0.459213	0.600614	0.552231	0.700045	0.682638	0.533755	0.616607	0.522485	0.387501	0.488915	0.611108	0.446367	0.605944	0.38056	0.622744	0.573092	0.650523	0.590041	0.681621	0.402802	0.471245	0.394803	0.699351	0.595703	0.545504	0.506051	0.505585	0.599314	0.601695	0.464446	0.598605	0.495192	0.50255	0.624549	0.677557	0.584544	0.534642	0.560254	0.427246	0.59065	0.728368	0.570819	0.485519	0.709508	0.376143	0.595636	0.616963	0.598791	0.636313	0.482742	0.775623	0.542486	0.457045	0.716248	0.42442	0.47072	0.774773	0.529584	0.652321	0.354434	0.643045	0.600451	0.531579	0.439678	0.721679	0.57653	0.621497	0.541251	0.463896	0.602877	0.633551	0.369541	0.646657	0.386602	0.7962	0.719119	0.369942	0.539554	0.679584	0.56967	0.660077	0.67835	0.540511	0.719918	0.66425	0.739899	0.638983	0.671996	0.349265	0.55681	0.470699	0.79521	0.517926	0.574197	0.485775	0.372506	0.727089	0.400818	0.384461	0.678634	0.697823	0.66829	0.74393	0.525266	0.706741	0.526428	0.637506	0.516774	0.355876	0.637396	0.367882	0.62788	0.497296	0.370109	0.718238	0.377335	0.558994	0.59875	0.389013	0.493376	0.775597	0.468702	0.380396	0.590911	0.442608	0.468106	0.435297	0.415411	0.352694	0.469815	0.426899	0.626202	0.519107
TA1	0.504422	0.554678	0.709053	0.602236	0.376232	0.586868	0.517666	0.656167	0.566945	0.0	0.596301	0.514005	0.413731	0.580956	0.439451	0.43956	0.678412	0.573527	0.511364	0.460363	0.580494	0.591044	0.62951	0.628594	0.618498	0.568746	0.646927	0.514738	0.495563	0.551986	0.624364	0.574832	0.675149	0.56534	0.626635	0.580222	0.671648	0.523072	0.579973	0.647479	0.820293	0.460989	0.572088	0.751538	0.668876	0.552562	0.501791	0.5788	0.59645	0.684973	0.612155	0.684478	0.77488	0.712957	0.69022	0.625035	0.621798	0.667468	0.564525	0.725885	0.654706	0.601885	0.577545	0.648408	0.730478	0.676611	0.763324	0.453035	0.604884	0.462182	0.583928	0.59795	0.688354	0.556934	0.628039	0.616089	0.468593	0.495583	0.626145	0.509089	0.569614	0.776527	0.547282	0.579001	0.421566	0.538117	0.691939	0.745049	0.622251	0.653168	0.544976	0.658305	0.767761	0.722781	0.601491	0.478162	0.817227	0.630617	0.484582	0.618236	0.642442	0.435721	0.603104	0.56517	0.576142	0.505418	0.624751	0.557146	0.741645	0.669271	0.838634	0.701541	0.489043	0.769153	0.427766	0.647397	0.623753	0.798159	0.478379	0.682629	0.617953	0.776648	0.683273	0.754563	0.447159	0.558033	0.619388	0.537913	0.552961	0.731763	0.669524	0.537962	0.338278	0.652175	0.553	0.554383	0.603528	0.716462	0.70739	0.590328	0.658167	0.654877	0.625962	0.471163	0.693079	0.401232	0.503262	0.809603	0.435594	0.6977	0.676041	0.653467	0.470062	0.70558	0.716436	0.607748	0.660041	0.692847	0.552168	0.710616	0.723242	0.429642	0.513336	0.762393	0.414411	0.524115	0.525849	0.733994	0.761437	0.526571	0.552824	0.55164	0.699663	0.746317	0.696542	0.566292	0.681995	0.507421	0.520609	0.444289	0.628652	0.574257	0.721575	0.486039	0.601216	0.743642	0.742124	0.66459	0.521187	0.766869	0.610946	0.735376	0.491704	0.804784	0.546838	0.533084	0.711257	0.668725	0.603608	0.391285	0.698732	0.542888	0.597698	0.662732	0.693662	0.6452	0.78011	0.735802	0.481186	0.628453	0.592144	0.554953	0.604315	0.657971	0.729083	0.604267	0.55634	0.629399	0.466816	0.655615	0.535845	0.52846	0.487963	0.539761	0.698342	0.504204	0.668881	0.630578	0.578295	0.621012	0.740784	0.71023	0.652469	0.706185	0.60399	0.489704	0.450986	0.660951	0.791933	0.5749
