#SampleID	group
HC40	HC
HC73	HC
HC74	HC
HC75	HC
HC76	HC
HC77	HC
HC78	HC
HC79	HC
HC80	HC
HC81	HC
HC82	HC
HC83	HC
HC84	HC
HC72	HC
HC85	HC
HC87	HC
HC88	HC
HC89	HC
HC90	HC
HC91	HC
HC92	HC
HC93	HC
HC94	HC
HC95	HC
HC96	HC
HC97	HC
HC98	HC
HC86	HC
HC99	HC
HC71	HC
HC69	HC
HC43	HC
HC44	HC
HC45	HC
HC46	HC
HC47	HC
HC48	HC
HC49	HC
HC50	HC
HC51	HC
HC52	HC
HC53	HC
HC54	HC
HC70	HC
HC55	HC
HC57	HC
HC58	HC
HC59	HC
HC60	HC
HC61	HC
HC62	HC
HC63	HC
HC64	HC
HC65	HC
HC66	HC
HC67	HC
HC68	HC
HC56	HC
HC42	HC
HC100	HC
HC102	HC
HC133	HC
HC134	HC
HC135	HC
HC136	HC
HC137	HC
HC138	HC
HC139	HC
HC140	HC
HC141	HC
HC142	HC
HC143	HC
HC144	HC
HC132	HC
HC145	HC
HC147	HC
HC148	HC
HC149	HC
HC150	HC
HC151	HC
HC152	HC
HC153	HC
HC154	HC
HC155	HC
HC156	HC
HC157	HC
HC158	HC
HC146	HC
HC101	HC
HC131	HC
HC129	HC
HC103	HC
HC104	HC
HC105	HC
HC106	HC
HC107	HC
HC108	HC
HC109	HC
HC110	HC
HC111	HC
HC112	HC
HC113	HC
HC114	HC
HC130	HC
HC115	HC
HC117	HC
HC118	HC
HC119	HC
HC120	HC
HC121	HC
HC122	HC
HC123	HC
HC124	HC
HC125	HC
HC126	HC
HC127	HC
HC128	HC
HC116	HC
HC41	HC
HC160	HC
HC39	HC
HC17	HC
HC16	HC
HC15	HC
HC14	HC
HC13	HC
HC12	HC
HC159	HC
HC10	HC
HC9	HC
HC8	HC
HC7	HC
HC6	HC
HC5	HC
HC4	HC
HC3	HC
HC2	HC
HC1	HC
HC18	HC
HC19	HC
HC11	HC
HC21	HC
HC20	HC
HC38	HC
HC37	HC
HC36	HC
HC35	HC
HC33	HC
HC32	HC
HC31	HC
HC34	HC
HC29	HC
HC30	HC
HC23	HC
HC24	HC
HC25	HC
HC22	HC
HC27	HC
HC28	HC
HC26	HC
TA8	TA
TA73	TA
TA74	TA
TA2	TA
TA3	TA
TA6	TA
TA7	TA
TA9	TA
TA18	TA
TA11	TA
TA12	TA
TA13	TA
TA14	TA
TA15	TA
TA16	TA
TA17	TA
TA10	TA
TA72	TA
TA4	TA
TA49	TA
TA19	TA
TA5	TA
TA23	TA
TA34	TA
TA36	TA
TA37	TA
TA38	TA
TA39	TA
TA40	TA
TA41	TA
TA42	TA
TA43	TA
TA44	TA
TA45	TA
TA46	TA
TA47	TA
TA48	TA
TA70	TA
TA20	TA
TA56	TA
TA22	TA
TA61	TA
TA62	TA
TA63	TA
TA64	TA
TA65	TA
TA66	TA
TA67	TA
TA60	TA
TA68	TA
TA71	TA
TA75	TA
TA76	TA
TA77	TA
TA78	TA
TA79	TA
TA80	TA
TA69	TA
TA59	TA
TA58	TA
TA57	TA
TA24	TA
TA25	TA
TA26	TA
TA27	TA
TA28	TA
TA29	TA
TA30	TA
TA31	TA
TA32	TA
TA33	TA
TA35	TA
TA50	TA
TA51	TA
TA52	TA
TA53	TA
TA54	TA
TA55	TA
TA21	TA
TA1	TA
