#SampleID	num	count	group
HC100	1.0	1.0	HC
HC100	100.0	28.551	HC
HC100	200.0	41.583	HC
HC100	300.0	50.432	HC
HC100	400.0	57.243	HC
HC100	500.0	63.475	HC
HC100	600.0	68.266	HC
HC100	700.0	72.545	HC
HC100	800.0	76.642	HC
HC100	900.0	80.608	HC
HC100	1000.0	83.452	HC
HC100	1100.0	86.807	HC
HC100	1200.0	90.046	HC
HC100	1300.0	92.503	HC
HC100	1400.0	95.315	HC
HC100	1500.0	98.039	HC
HC100	1600.0	100.403	HC
HC100	1700.0	102.733	HC
HC100	1800.0	104.763	HC
HC100	1900.0	106.822	HC
HC100	2000.0	108.492	HC
HC100	2100.0	110.426	HC
HC100	2200.0	112.389	HC
HC100	2300.0	114.263	HC
HC100	2400.0	115.755	HC
HC100	2500.0	117.182	HC
HC100	2600.0	118.67	HC
HC100	2700.0	120.007	HC
HC100	2800.0	121.132	HC
HC100	2900.0	122.233	HC
HC100	3000.0	123.354	HC
HC100	3100.0	124.209	HC
HC100	3200.0	125.694	HC
HC100	3300.0	126.966	HC
HC100	3400.0	127.97	HC
HC100	3500.0	128.909	HC
HC100	3600.0	130.149	HC
HC100	3700.0	131.446	HC
HC100	3800.0	132.571	HC
HC100	3900.0	133.722	HC
HC100	4000.0	134.48	HC
HC100	4100.0	135.424	HC
HC100	4200.0	136.396	HC
HC100	4300.0	137.76	HC
HC100	4400.0	138.43	HC
HC100	4500.0	139.097	HC
HC100	4600.0	140.034	HC
HC100	4700.0	140.708	HC
HC100	4800.0	141.827	HC
HC100	4900.0	142.644	HC
HC100	5000.0	143.438	HC
HC100	5100.0	143.988	HC
HC100	5200.0	145.012	HC
HC100	5300.0	145.92	HC
HC100	5400.0	146.706	HC
HC100	5500.0	147.555	HC
HC100	5600.0	148.463	HC
HC100	5700.0	149.434	HC
HC100	5800.0	150.192	HC
HC100	5900.0	150.918	HC
HC100	6000.0	151.736	HC
HC100	6100.0	152.493	HC
HC100	6200.0	153.373	HC
HC100	6300.0	154.247	HC
HC100	6400.0	154.587	HC
HC100	6500.0	155.072	HC
HC100	6600.0	155.793	HC
HC100	6700.0	156.547	HC
HC100	6800.0	156.972	HC
HC100	6900.0	157.635	HC
